N,smina,gnina,best,annotation,prefix,model,crystal
6,54.39414,76.18260,88.73999,flex2,nc,default2018,yes
7,56.17251,77.45463,88.77329,flex2,nc,default2018,yes
8,59.45817,79.04533,88.77329,flex2,nc,default2018,yes
9,60.91938,80.38920,88.77329,flex2,nc,default2018,yes
10,62.55753,81.35279,88.77329,flex2,nc,default2018,yes
1,26.68403,30.84352,65.73948,flex2,nc,default2018,no
2,35.23932,41.09853,70.34553,flex2,nc,default2018,no
3,40.52926,47.39641,71.11288,flex2,nc,default2018,no
4,43.20694,51.13779,71.35474,flex2,nc,default2018,no
5,45.76513,54.36243,71.59192,flex2,nc,default2018,no
6,47.84652,56.87874,71.59192,flex2,nc,default2018,no
7,49.24759,58.54640,71.59192,flex2,nc,default2018,no
8,50.88482,59.74167,71.59192,flex2,nc,default2018,no
9,51.92249,60.50758,71.59192,flex2,nc,default2018,no
10,53.22866,61.87182,71.59192,flex2,nc,default2018,no
1,25.28999,37.92222,71.78876,max2,nc,default2018,yes
2,33.99223,49.61429,78.83856,max2,nc,default2018,yes
3,39.34342,54.84450,80.56808,max2,nc,default2018,yes
4,42.51585,59.74789,81.59416,max2,nc,default2018,yes
5,46.36282,63.30483,81.92906,max2,nc,default2018,yes
6,49.01486,65.53500,82.06879,max2,nc,default2018,yes
7,50.98445,67.29084,82.18752,max2,nc,default2018,yes
8,54.35719,69.12979,82.30656,max2,nc,default2018,yes
9,55.59672,70.61487,82.48381,max2,nc,default2018,yes
10,57.16049,71.72540,82.56318,max2,nc,default2018,yes
1,21.41807,20.91715,46.04454,max2,nc,default2018,no
2,28.85332,29.60438,54.96853,max2,nc,default2018,no
3,33.61546,34.06376,57.73957,max2,nc,default2018,no
4,35.92618,37.22781,58.98478,max2,nc,default2018,no
5,38.45292,39.93921,60.34300,max2,nc,default2018,no
6,40.63230,42.39179,61.23787,max2,nc,default2018,no
7,42.09008,44.21570,61.36413,max2,nc,default2018,no
8,43.57009,46.15945,61.57577,max2,nc,default2018,no
9,44.35772,47.31512,61.63750,max2,nc,default2018,no
10,45.57105,48.82912,61.63750,max2,nc,default2018,no
1,31.48793,44.08130,92.92181,ligand,cluster,dense,yes
2,40.78732,57.50457,92.92181,ligand,cluster,dense,yes
3,46.80599,64.87985,92.92181,ligand,cluster,dense,yes
4,49.82605,70.03172,92.92181,ligand,cluster,dense,yes
5,53.94295,73.65932,92.92181,ligand,cluster,dense,yes
6,56.81612,76.38514,92.92181,ligand,cluster,dense,yes
7,58.72426,78.37848,92.92181,ligand,cluster,dense,yes
8,62.03559,80.51112,92.92181,ligand,cluster,dense,yes
9,63.63130,81.80306,92.92181,ligand,cluster,dense,yes
10,65.13145,83.12387,92.92181,ligand,cluster,dense,yes
1,28.21962,28.58172,74.84106,ligand,cluster,dense,no
2,36.80285,38.31744,74.84106,ligand,cluster,dense,no
3,42.35087,44.39027,74.84106,ligand,cluster,dense,no
4,45.04721,48.74433,74.84106,ligand,cluster,dense,no
5,48.10555,52.36616,74.84106,ligand,cluster,dense,no
6,50.27839,55.18849,74.84106,ligand,cluster,dense,no
7,51.83849,57.19580,74.84106,ligand,cluster,dense,no
8,53.41623,59.60949,74.84106,ligand,cluster,dense,no
9,54.56853,60.58888,74.84106,ligand,cluster,dense,no
10,55.82544,61.89045,74.84106,ligand,cluster,dense,no
1,21.14338,28.90500,64.24360,flex1,cluster,dense,yes
2,29.26588,39.46295,71.66210,flex1,cluster,dense,yes
3,33.91165,45.68982,73.73965,flex1,cluster,dense,yes
4,37.02905,50.30784,75.34277,flex1,cluster,dense,yes
5,40.55304,54.46481,75.72440,flex1,cluster,dense,yes
6,43.15086,57.57761,75.88033,flex1,cluster,dense,yes
7,44.90208,59.57962,76.06778,flex1,cluster,dense,yes
8,47.99510,61.79854,76.21662,flex1,cluster,dense,yes
9,49.32074,63.37803,76.32773,flex1,cluster,dense,yes
10,50.86082,64.26148,76.32773,flex1,cluster,dense,yes
1,17.32831,12.26093,36.88306,flex1,cluster,dense,no
2,23.24843,19.26470,44.28780,flex1,cluster,dense,no
3,27.26343,23.32231,47.22227,flex1,cluster,dense,no
4,29.33745,26.46963,48.32520,flex1,cluster,dense,no
5,31.51832,29.12976,49.52989,flex1,cluster,dense,no
6,33.26927,31.96493,50.14991,flex1,cluster,dense,no
7,34.52848,33.61856,50.32460,flex1,cluster,dense,no
8,35.98040,35.26512,50.63324,flex1,cluster,dense,no
9,36.66667,36.64280,50.89678,flex1,cluster,dense,no
10,37.71125,37.85103,50.93262,flex1,cluster,dense,no
1,30.03667,42.41254,85.43267,flex2,cluster,dense,yes
2,39.28667,56.48208,87.81154,flex2,cluster,dense,yes
3,45.09503,64.45829,88.30955,flex2,cluster,dense,yes
4,48.06662,68.83430,88.67210,flex2,cluster,dense,yes
5,51.64229,71.68020,88.73999,flex2,cluster,dense,yes
6,54.39414,73.99239,88.73999,flex2,cluster,dense,yes
7,56.17251,76.09998,88.77329,flex2,cluster,dense,yes
8,59.45817,77.30453,88.77329,flex2,cluster,dense,yes
9,60.91938,78.30222,88.77329,flex2,cluster,dense,yes
10,62.55753,79.61292,88.77329,flex2,cluster,dense,yes
1,26.68403,26.81424,65.73948,flex2,cluster,dense,no
2,35.23932,36.87124,70.34553,flex2,cluster,dense,no
3,40.52926,42.36651,71.11288,flex2,cluster,dense,no
4,43.20694,46.69488,71.35474,flex2,cluster,dense,no
5,45.76513,50.17694,71.59192,flex2,cluster,dense,no
6,47.84652,52.44031,71.59192,flex2,cluster,dense,no
7,49.24759,54.91299,71.59192,flex2,cluster,dense,no
8,50.88482,56.76220,71.59192,flex2,cluster,dense,no
9,51.92249,58.48384,71.59192,flex2,cluster,dense,no
10,53.22866,59.43787,71.59192,flex2,cluster,dense,no
1,25.28999,30.31045,71.78876,max2,cluster,dense,yes
2,33.99223,42.68102,78.83856,max2,cluster,dense,yes
3,39.34342,52.20277,80.56808,max2,cluster,dense,yes
4,42.51585,56.71861,81.59416,max2,cluster,dense,yes
5,46.36282,60.31745,81.92906,max2,cluster,dense,yes
6,49.01486,62.48001,82.06879,max2,cluster,dense,yes
7,50.98445,64.65129,82.18752,max2,cluster,dense,yes
8,54.35719,65.98638,82.30656,max2,cluster,dense,yes
9,55.59672,67.04112,82.48381,max2,cluster,dense,yes
10,57.16049,68.32853,82.56318,max2,cluster,dense,yes
1,21.41807,16.00290,46.04454,max2,cluster,dense,no
2,28.85332,23.88347,54.96853,max2,cluster,dense,no
3,33.61546,31.47982,57.73957,max2,cluster,dense,no
4,35.92618,35.03153,58.98478,max2,cluster,dense,no
5,38.45292,38.24856,60.34300,max2,cluster,dense,no
6,40.63230,40.54502,61.23787,max2,cluster,dense,no
7,42.09008,42.55266,61.36413,max2,cluster,dense,no
8,43.57009,43.57295,61.57577,max2,cluster,dense,no
9,44.35772,44.58260,61.63750,max2,cluster,dense,no
10,45.57105,45.64218,61.63750,max2,cluster,dense,no
1,31.48793,50.77906,92.92181,ligand,nc,dense,yes
2,40.78732,62.90156,92.92181,ligand,nc,dense,yes
3,46.80599,69.89228,92.92181,ligand,nc,dense,yes
4,49.82605,74.45379,92.92181,ligand,nc,dense,yes
5,53.94295,77.82867,92.92181,ligand,nc,dense,yes
6,56.81612,80.05877,92.92181,ligand,nc,dense,yes
7,58.72426,81.60430,92.92181,ligand,nc,dense,yes
8,62.03559,83.89901,92.92181,ligand,nc,dense,yes
9,63.63130,85.08532,92.92181,ligand,nc,dense,yes
10,65.13145,85.93825,92.92181,ligand,nc,dense,yes
1,28.21962,31.95788,74.84106,ligand,nc,dense,no
2,36.80285,41.61124,74.84106,ligand,nc,dense,no
3,42.35087,47.71996,74.84106,ligand,nc,dense,no
4,45.04721,52.00006,74.84106,ligand,nc,dense,no
5,48.10555,55.18140,74.84106,ligand,nc,dense,no
6,50.27839,57.95529,74.84106,ligand,nc,dense,no
7,51.83849,59.80238,74.84106,ligand,nc,dense,no
8,53.41623,61.40002,74.84106,ligand,nc,dense,no
9,54.56853,62.58276,74.84106,ligand,nc,dense,no
10,55.82544,63.53770,74.84106,ligand,nc,dense,no
1,21.14338,30.13264,64.24360,flex1,nc,dense,yes
2,29.26588,43.02162,71.66210,flex1,nc,dense,yes
3,33.91165,49.72649,73.73965,flex1,nc,dense,yes
4,37.02905,54.61089,75.34277,flex1,nc,dense,yes
5,40.55304,57.73008,75.72440,flex1,nc,dense,yes
6,43.15086,59.99949,75.88033,flex1,nc,dense,yes
7,44.90208,61.66935,76.06778,flex1,nc,dense,yes
8,47.99510,62.96059,76.21662,flex1,nc,dense,yes
9,49.32074,64.15326,76.32773,flex1,nc,dense,yes
10,50.86082,65.70581,76.32773,flex1,nc,dense,yes
1,17.32831,15.02969,36.88306,flex1,nc,dense,no
2,23.24843,22.29394,44.28780,flex1,nc,dense,no
3,27.26343,26.95880,47.22227,flex1,nc,dense,no
4,29.33745,31.28364,48.32520,flex1,nc,dense,no
5,31.51832,32.92193,49.52989,flex1,nc,dense,no
6,33.26927,34.85299,50.14991,flex1,nc,dense,no
7,34.52848,36.12772,50.32460,flex1,nc,dense,no
8,35.98040,37.09489,50.63324,flex1,nc,dense,no
9,36.66667,38.36747,50.89678,flex1,nc,dense,no
